Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Ahmed, Dena; Salloum, Said A; Shaalan, Khaled; ",Implementing knowledge management in an IT startup: a case study,International Conference on Emerging Technologies and Intelligent Systems,,,757-766,2021,Springer
"Candal, Diego Marconi; Gaspar, Marcos Antonio; Costa, Ivanir; de Magalhães, Fábio Luís Falchi; Ferreira, Ramon Alves; ",Influência de práticas de gestão do conhecimento aplicadas ao desenvolvimento ágil de software,Revista Ibérica de Sistemas e Tecnologias de Informação,,48,74-88,2022,Associação Ibérica de Sistemas e Tecnologias de Informacao
