"Item type","Authors","Title","Journal","Publication year","Volume","Pages","Proceedings title","Date published","URLs"
"Conference Paper","Junior JF,Ferreira W,Saraiva J,Soares S","KnowEval: A Tool for Supporting Knowledge Transfer Evaluation","","2025","","","Brazilian Symposium on Software Engineering","2025","https://api.semanticscholar.org/CorpusID:281979603"
"Journal Article","Souza W,Silva W,Guedes GT","Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Proceedings of the 20th Brazilian Symposium on Information Systems","2024","","","","2024","https://api.semanticscholar.org/CorpusID:269987672"
"Journal Article","Vera T,Perovich D,Ochoa SF","An Instrument to Define the Product Scope at Preselling Time","2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","2021","","604-608","","2021","https://api.semanticscholar.org/CorpusID:235235561"
"Journal Article","dos Santos Alves D,Smek DJ,de Souza ÉF,Felizardo KR,Vijaykumar NL","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Proceedings of the XXIII Brazilian Symposium on Software Quality","2024","","","","2024","https://api.semanticscholar.org/CorpusID:274967657"
"Conference Paper","Wolf M,Erfurth C","Knowledge Management for the Digital Transformation of Enterprises - Literature Based Trend Analysis","","2019","","","International Conference on Innovations for Community Services","2019","https://api.semanticscholar.org/CorpusID:186206300"
"Journal Article","Yanpratama A,Raharjo T","Analysis The Success of Knowledge Management in Agile Team Study Case: Ecommerce in Indonesia","Indonesian Journal of Computer Science","2023","","","","2023","https://api.semanticscholar.org/CorpusID:266868509"
"Journal Article","Giachetti G,la Vara JL,Marín B","Mastering Agile Practice Adoption through a Model-Driven Approach for the Combination of Development Methods","Business & Information Systems Engineering","2022","65","103-125","","2022","https://api.semanticscholar.org/CorpusID:255114982"
"Journal Article","dos Santos V,Salgado J,de Souza ÉF,Felizardo KR,Vijaykumar NL","A Tool for Automation of Knowledge Management Diagnostics in Software Development Companies","Anais Estendidos da Conferência Brasileira de Software: Teoria e Prática","2019","","","","2019","https://api.semanticscholar.org/CorpusID:204163772"
