DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,"Daniela dos Santos Alves, Deivid José Smek, Érica Ferreira de Souza, K. Felizardo, N. L. Vijaykumar",Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.",282731425,0,45,(missing PubMedId)
(missing DOI),Foreword to the special issue of the World Conference on Information Systems and Technologies (WorldCIST 2017),"S. Zólkiewski, Leszek M. Chybowski",Concurr. Comput. Pract. Exp.,2019,"It is our great pleasure to introduce the latest special issue of the Concurrency and Computation: Practice and Experience. The issue contains the results of the latest research in the wide-ranging topics regarding computers and computational science. The contemporary problems tackled in the issue concern information technology and are connected not only with improving software and hardware but also with human-machine interfaces. Especially, this last issue is current and up-to-date as computer technologies interlocated between human-supporting machinery are a natural step in developing our civilization. The topics presented in the issue include the problems relating to modeling new computational system, monitoring health, system diagnostics, and algorithms for big data management. We are sure that every reader interested in computational engineering might find some very interesting information.",187527423,0,6,(missing PubMedId)
