Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
009-974-368-780-053,Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,2016-06-01,2016,journal article,Software Quality Journal,09639314; 15731367,Springer Science and Business Media LLC,Netherlands,Vahid Garousi; Matt M. Eskandar; Kadir Herkiloglu,"Collaboration between industry and academia supports improvement and innovation in industry and helps to ensure industrial relevance in academic research. However, many researchers and practitioners believe that the level of joint industry–academia collaborations (IAC) in software engineering (SE) is still relatively very low, compared to the amount of activity in each of the two communities. The goal of the empirical study reported in this paper is to characterize a set of collaborative industry–academia R&D projects in the area of software testing conducted by the authors (based in Canada and Turkey) with respect to a set of challenges, patterns and anti-patterns identified by a recent Systematic Literature Review study, with the aim of contributing to the body of evidence in the area of IAC, for the benefit of SE researchers and practitioners in conducting successful IAC projects in software testing and in software engineering in general. To address the above goal, a pool of ten IAC projects (six completed, two failed and two ongoing) all in the area of software testing, which the authors have led or have had active roles in, were selected as objects of study and were analyzed (both quantitatively and qualitatively) with respect to the set of selected challenges, patterns and anti-patterns. As outputs, the study presents a set of empirical findings and evidence-based recommendations, e.g.: it has been observed that even if an IAC project may seem perfect from many aspects, one single major challenge (e.g., disagreement in confidentiality agreements) can lead to its failure. Thus, we recommend that both parties (academics and practitioners) consider all the challenges early on and proactively work together to eliminate the risk of challenges in IAC projects. We furthermore report correlation and interrelationship of challenges, patterns and anti-patterns with project success measures. This study hopes to encourage and benefit other SE researchers and practitioners in conducting successful IAC projects in software testing and in software engineering in general in the future.",25,4,1091,1143,Empirical research; Engineering; Set (psychology); Work (electrical); Systematic review; Software testing; Project success; Management science; Knowledge management; Confidentiality; Relevance (information retrieval),Industry-academia collaborations; software engineering; software testing; empirical study; experience report; evidence; challenges; success factors (patterns); anti-patterns,,,Hacettepe Üniversitesi (TR); TÜBİTAK,https://link.springer.com/article/10.1007/s11219-016-9319-5 https://www.narcis.nl/publication/RecordID/oai%3Alibrary.wur.nl%3Awurpubs%2F532749 https://dblp.uni-trier.de/db/journals/sqj/sqj25.html#GarousiEH17 https://core.ac.uk/download/pdf/148789626.pdf,http://dx.doi.org/10.1007/s11219-016-9319-5,,10.1007/s11219-016-9319-5,2466590866,,0,000-051-713-975-36X; 000-431-287-943-115; 000-569-182-294-94X; 002-444-493-392-09X; 003-656-336-053-300; 004-145-572-246-376; 005-581-015-958-634; 007-476-800-156-352; 007-881-046-965-80X; 008-958-277-087-804; 010-081-393-133-162; 010-396-921-724-422; 010-432-633-444-325; 011-544-671-678-010; 012-907-621-061-860; 015-276-436-539-843; 017-485-806-018-927; 019-986-065-727-926; 021-639-880-719-442; 022-198-978-906-065; 022-510-128-734-90X; 023-271-752-717-768; 031-938-899-456-075; 032-299-948-416-394; 033-677-968-656-338; 034-402-234-497-861; 038-055-586-136-447; 038-403-201-106-780; 039-688-502-139-381; 041-916-163-785-971; 045-933-727-740-788; 046-167-493-945-540; 046-825-714-365-251; 047-583-581-550-695; 050-504-653-280-904; 050-736-728-900-411; 052-572-686-579-766; 055-563-387-809-044; 057-076-982-289-607; 058-725-073-311-735; 063-733-363-616-247; 064-604-663-720-72X; 075-419-961-148-949; 076-761-977-791-103; 077-468-070-126-168; 084-347-471-637-842; 086-569-305-309-25X; 090-476-065-400-127; 090-997-573-535-443; 092-234-856-249-997; 092-454-464-733-709; 092-523-445-325-968; 093-590-950-099-590; 095-782-248-858-533; 096-140-968-331-571; 096-700-610-089-998; 102-314-552-495-241; 104-059-482-678-348; 104-264-539-898-708; 105-923-927-752-981; 106-035-480-742-250; 113-622-434-842-007; 117-416-167-410-987; 120-252-162-615-043; 131-733-183-012-125; 136-639-753-658-392; 137-989-443-238-882; 139-470-628-361-571; 141-303-369-356-949; 141-666-804-534-299; 145-208-137-221-375; 147-815-395-653-784; 148-727-678-762-928; 149-541-903-132-246; 152-673-071-710-682; 155-333-022-205-039; 158-464-082-365-922; 164-720-640-437-271; 165-148-217-335-560; 168-609-601-788-773; 169-643-480-975-462; 171-816-063-925-100; 182-305-215-228-297; 184-331-190-859-587; 189-483-918-651-282; 194-193-802-341-923; 197-236-322-599-032; 199-315-486-905-516,43,true,cc-by-nc-nd,green
054-987-314-569-193,"Springer Series in Design and Innovation - An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility",2021-10-22,2021,book chapter,Springer Series in Design and Innovation,26618184; 26618192,Springer International Publishing,,Filipe Lima; Alison Burrows; Lídia Lemos; Priscila Lucena; Ricardo Pessoa; Rui José; Paula Trigueiros,,,,274,286,Engineering management; Multidisciplinary approach; Computer science,,,,,https://link.springer.com/content/pdf/10.1007/978-3-030-89735-2_23,http://dx.doi.org/10.1007/978-3-030-89735-2_23,,10.1007/978-3-030-89735-2_23,3209187066,,0,003-656-336-053-300; 006-186-244-359-973; 009-573-973-493-960; 009-667-426-922-938; 010-139-525-412-403; 012-308-353-741-215; 014-772-633-581-115; 015-070-321-823-808; 015-438-738-495-734; 022-131-057-185-252; 022-198-978-906-065; 023-046-475-886-457; 023-140-514-663-274; 026-834-951-881-152; 033-593-080-338-523; 040-076-670-791-772; 042-988-882-813-202; 046-825-714-365-251; 049-467-152-568-218; 051-015-920-772-700; 052-932-101-642-747; 055-798-387-948-307; 061-106-551-419-704; 061-442-829-619-499; 064-604-663-720-72X; 068-118-749-420-64X; 072-050-889-156-71X; 078-896-076-932-280; 079-212-739-651-006; 080-857-865-443-56X; 084-977-460-313-806; 092-454-464-733-709; 101-561-819-373-887; 105-992-517-200-85X; 110-794-719-835-347; 116-302-179-841-686; 145-184-066-179-937; 148-727-678-762-928; 149-541-903-132-246; 151-171-265-444-267; 154-568-650-142-331; 165-969-298-784-509; 180-806-623-281-567; 189-483-918-651-282,1,true,,green
062-610-200-974-270,A Researcher’s Experiences in Supporting Industrial Software Process Improvement,2016-09-16,2016,book chapter,Managing Software Process Evolution,,Springer International Publishing,,Kai Petersen,"Industry–academia collaboration in software engineering is essential for the relevance of research, as research may make important contributions to the improvement of software engineering. Thus, software engineering researchers are an asset in software process improvement. In this chapter, I present different experiences of being an embedded researcher in industry contributing to software process improvement. The process improvement works were focused on helping organizations to move from plan-driven processes to agile and lean processes. We will elaborate on the challenges, essential practices, and related benefits that were observed when working closely with industry in the role of embedded researchers. Supporting examples from different published cases form the basis for this experience report.",,,235,255,Agile software development; Software development process; Process management; Software product line; Industrial software; Process improvement; Experience report; Computer science; Asset (computer security); Relevance (information retrieval),,,,,https://portal.research.lu.se/en/publications/a-researchers-experiences-in-supporting-industrial-software-proce https://lup.lub.lu.se/search/publication/8c334908-509d-4e8e-bc73-725d6534d6f2 https://rd.springer.com/chapter/10.1007/978-3-319-31545-4_12 https://link.springer.com/chapter/10.1007/978-3-319-31545-4_12,http://dx.doi.org/10.1007/978-3-319-31545-4_12,,10.1007/978-3-319-31545-4_12,2518785283,,0,000-051-713-975-36X; 002-444-493-392-09X; 003-656-336-053-300; 004-648-809-861-284; 006-484-186-385-668; 006-567-388-513-57X; 010-396-921-724-422; 011-755-796-905-723; 012-718-180-038-258; 012-907-621-061-860; 019-986-065-727-926; 021-399-692-309-155; 022-198-978-906-065; 022-510-128-734-90X; 023-271-752-717-768; 024-750-872-916-176; 024-877-844-617-708; 025-977-251-825-346; 031-938-899-456-075; 034-402-234-497-861; 038-403-201-106-780; 039-996-923-510-884; 045-933-727-740-788; 046-825-714-365-251; 047-251-248-310-822; 057-076-982-289-607; 062-090-801-895-168; 063-733-363-616-247; 064-604-663-720-72X; 069-533-474-379-469; 075-419-961-148-949; 085-030-498-217-478; 085-335-765-366-169; 092-234-856-249-997; 092-454-464-733-709; 093-590-950-099-590; 095-782-248-858-533; 105-833-689-237-36X; 105-923-927-752-981; 106-035-480-742-250; 117-795-919-710-070; 129-163-283-042-440; 131-733-183-012-125; 136-711-342-139-532; 141-666-804-534-299; 147-815-395-653-784; 148-727-678-762-928; 149-541-903-132-246; 155-333-022-205-039; 167-646-355-698-700; 168-609-601-788-773; 169-643-480-975-462; 171-816-063-925-100; 189-483-918-651-282; 197-236-322-599-032,0,false,,
101-830-589-410-189,Software test results exploration and visualization with continuous integration and nightly testing,2022-02-18,2022,journal article,International Journal on Software Tools for Technology Transfer,14332779; 14332787,Springer Science and Business Media LLC,Germany,Per Erik Strandberg; Wasif Afzal; Daniel Sundmark,"<jats:title>Abstract</jats:title><jats:p>Software testing is key for quality assurance of embedded systems. However, with increased development pace, the amount of test results data risks growing to a level where exploration and visualization of the results are unmanageable. This paper covers a tool, Tim, implemented at a company developing embedded systems, where software development occurs in parallel branches and nightly testing is partitioned over software branches, test systems and test cases. Tim aims to replace a previous solution with problems of scalability, requirements and technological flora. Tim was implemented with a reference group over several months. For validation, data were collected both from reference group meetings and logs from the usage of the tool. Data were analyzed quantitatively and qualitatively. The main contributions from the study include the implementation of eight views for test results exploration and visualization, the identification of four solutions patterns for these views (filtering, aggregation, previews and comparisons), as well as six challenges frequently discussed at reference group meetings (expectations, anomalies, navigation, integrations, hardware details and plots). Results are put in perspective with related work and future work is proposed, e.g., enhanced anomaly detection and integrations with more systems such as risk management, source code and requirements repositories.</jats:p>",24,2,261,285,Computer science; Visualization; Software; Software engineering; Software quality assurance; Scalability; Test (biology); Software visualization; Software system; Software development; Software quality; Database; Data mining; Software construction; Programming language; Biology; Paleontology,,,,Mälardalen University,https://link.springer.com/content/pdf/10.1007/s10009-022-00647-1.pdf https://doi.org/10.1007/s10009-022-00647-1,http://dx.doi.org/10.1007/s10009-022-00647-1,,10.1007/s10009-022-00647-1,,,1,003-986-842-089-201; 004-223-384-251-46X; 010-081-393-133-162; 011-849-410-914-780; 011-915-591-311-841; 012-268-282-084-399; 016-924-917-028-736; 019-194-677-281-296; 019-628-108-233-150; 021-254-590-261-499; 022-093-628-625-553; 025-465-829-435-602; 028-497-147-841-326; 029-543-185-645-503; 029-876-168-847-125; 030-696-829-586-151; 035-089-603-100-101; 035-165-569-826-153; 037-550-015-414-716; 037-714-002-366-24X; 039-996-923-510-884; 046-263-713-840-661; 047-428-988-043-45X; 048-784-625-854-402; 050-927-145-329-374; 051-166-311-747-364; 057-346-507-883-890; 060-850-204-460-859; 061-926-997-876-735; 067-430-505-363-693; 071-040-500-425-665; 076-281-628-628-620; 079-212-739-651-006; 079-246-006-028-87X; 080-988-084-879-301; 092-943-787-318-566; 106-971-376-963-629; 111-083-486-939-959; 118-524-301-930-436; 119-079-490-004-688; 119-809-659-142-229; 120-762-372-479-123; 142-445-348-781-364; 147-130-081-341-110; 148-727-678-762-928; 162-518-608-435-645; 173-970-346-873-601; 182-601-590-206-424,12,true,cc-by,hybrid
119-809-659-142-229,ESEM - Ethical Interviews in Software Engineering,,2019,conference proceedings article,2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),,IEEE,,Per Erik Strandberg,"Background: Despite a long history, numerous laws and regulations, ethics remains an unnatural topic for many software engineering researchers. Poor research ethics may lead to mistrust of research results, lost funding and retraction of publications. A core principle for research ethics is confidentiality, and anonymization is a standard approach to guarantee it. Many guidelines for qualitative software engineering research, and for qualitative research in general, exist, but these do not penetrate how and why to anonymize interview data. Aims: In this paper we aim to identify ethical guidelines for software engineering interview studies involving industrial practitioners. Method: By learning from previous experiences and listening to the authority of existing guidelines in the more mature field of medicine as well as in software engineering, a comprehensive set of checklists for interview studies was distilled. Results: The elements of an interview study were identified and ethical considerations and recommendations for each step were produced, in particular with respect to anonymization. Important ethical principles are: consent, beneficence, confidentiality, scientific value, researcher skill, justice, respect for law, and ethical reviews. Conclusions: The most important contribution of this study is the set of checklists for ethical interview studies. Future work is needed to refine these guidelines with respect to legal aspects and ethical boards.",,,1,11,Software engineering; Beneficence; Research ethics; Psychology; Work (electrical); Active listening; Qualitative research; Justice (ethics); Value (ethics); Confidentiality,,,,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1345207 https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ecCMHSNEZy/pdf https://dblp.uni-trier.de/db/journals/corr/corr1906.html#abs-1906-07993,http://dx.doi.org/10.1109/esem.2019.8870192,,10.1109/esem.2019.8870192,2981249399,,0,000-254-979-157-874; 003-355-940-785-47X; 010-081-393-133-162; 012-776-639-766-298; 014-888-451-720-502; 015-517-889-006-69X; 018-084-005-833-277; 018-222-674-707-385; 037-550-015-414-716; 038-869-712-549-027; 044-362-730-853-641; 047-406-962-389-340; 048-645-419-219-088; 049-074-757-722-727; 052-593-501-994-166; 065-488-343-632-473; 068-148-648-598-42X; 069-348-810-043-661; 073-920-917-470-507; 074-995-537-656-089; 076-078-226-449-327; 082-917-930-553-701; 085-770-290-182-732; 086-942-681-230-361; 091-342-045-557-998; 098-838-882-415-595; 098-981-344-002-47X; 106-903-309-878-235; 115-481-548-529-648; 128-643-019-247-304; 129-702-989-253-83X; 130-990-210-896-829; 139-470-628-361-571; 148-727-678-762-928; 149-541-903-132-246; 156-331-250-132-553; 181-422-598-160-344; 186-876-965-248-697,40,true,,green
128-954-699-747-094,Planning for the Unknown: Lessons Learned from Ten Months of Non-participant Exploratory Observations in the Industry,,2015,conference proceedings article,2015 IEEE/ACM 3rd International Workshop on Conducting Empirical Studies in Industry,,IEEE,,Mathieu Lavallee; Pierre N. Robillard,"Convincing industrial partners to support an exploratory study can be difficult, as benefits are often fuzzy at the beginning. The objective of this paper is to present recommendations for industrial exploratory studies based on our experience. The recommendations are based on ten months of observations during a non-participant, exploratory study with a single industrial partner. This study confirms a number of methodological challenges already identified in the software engineering literature. Based on recommendations from the literature and our own experience, we propose a process for future observational exploratory studies.",11,,12,18,Exploratory research; Observational study; Process (computing); Knowledge management; Computer science; Software; Management science; Process management; Engineering; Medicine; Sociology; Anthropology; Pathology; Programming language; Operating system,,,,,,http://dx.doi.org/10.1109/cesi.2015.10,,10.1109/cesi.2015.10,,,0,017-598-483-669-514; 034-402-234-497-861; 083-889-630-610-226; 085-288-434-549-623; 096-180-550-629-692; 099-850-537-798-220; 133-617-741-287-153; 134-106-283-013-332; 134-662-432-404-810; 148-727-678-762-928; 156-352-785-139-404; 160-119-501-486-02X; 169-643-480-975-462; 197-236-322-599-032,1,false,,
158-804-498-554-389,Experiences and challenges from developing cyber‐physical systems in industry‐academia collaboration,2024-01-17,2024,journal article,Software: Practice and Experience,00380644; 1097024x,Wiley,United States,Johan Cederbladh; Romina Eramo; Vittoriano Muttillo; Per Erik Strandberg,"<jats:title>Summary</jats:title><jats:p>Cyber‐physical systems (CPSs) are increasing in developmental complexity. Several emerging technologies, such as Model‐based engineering, DevOps, and Artificial intelligence, are expected to alleviate the associated complexity by introducing more advanced capabilities. The AIDOaRt research project investigates how the aforementioned technologies can assist in developing complex CPSs in various industrial use cases. In this paper, we discuss the experiences of industry and academia collaborating to improve the development of complex CPSs through the experiences in the research project. In particular, the paper presents the results of two working groups that examined the challenges of developing complex CPSs from an industrial and academic perspective when considering the previously mentioned technologies. We present five identified challenge areas from developing complex CPSs and discuss them from the perspective of industry and academia: data, modeling, requirements engineering, continuous software and system engineering, as well as intelligence and automation. Furthermore, we highlight practical experience in collaboration from the project via two explicit use cases and connect them to the challenge areas. Finally, we discuss some lessons learned through the collaborations, which might foster future collaborative efforts.</jats:p>",54,6,1193,1212,Cyber-physical system; DevOps; Perspective (graphical); Engineering management; Automation; Computer science; Knowledge management; Industry 4.0; Engineering; Systems engineering; Management science; Software engineering; Software deployment; Artificial intelligence; Operating system; Mechanical engineering; Embedded system,,,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/spe.3312 https://doi.org/10.1002/spe.3312,http://dx.doi.org/10.1002/spe.3312,,10.1002/spe.3312,,,0,005-980-029-960-100; 014-772-519-093-126; 022-093-628-625-553; 023-804-310-020-751; 030-453-287-021-984; 032-901-537-588-449; 037-550-015-414-716; 039-148-989-820-322; 041-463-698-091-918; 044-515-421-329-082; 051-503-859-395-469; 051-513-822-477-937; 052-813-487-262-63X; 058-181-100-982-639; 061-100-743-683-115; 061-616-060-979-686; 065-444-012-061-560; 069-107-709-626-216; 070-869-955-460-000; 079-212-739-651-006; 081-219-721-365-654; 086-368-775-538-718; 092-312-692-707-971; 092-611-703-207-631; 093-164-546-548-065; 094-313-147-425-677; 094-321-369-641-623; 094-972-177-452-704; 115-888-806-121-288; 115-947-164-075-941; 116-032-048-359-913; 133-731-560-527-313; 148-727-678-762-928; 153-198-804-493-774; 158-934-356-448-789; 169-254-564-451-624; 173-970-346-873-601; 181-422-598-160-344,8,true,cc-by,hybrid
