Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"When practice and research meet: demonstration of a practice research methodology in co-producing an assessment tool","Practice research is a meeting point between practice and research involving collaborations and negotiations to ensure findings from research are usable to improve services and living conditions. It is still embryonic and can be challenging for novice researchers or experienced researchers without adequate understanding. For social science researchers and practitioners who are interested in improving service delivery and shaping positive outcomes, practice research methodology is a go-to approach. However, there is inadequate clarity about how core theoretical foundations of practice research are represented in the methodology. In this article, we demonstrate the application of a practice research methodology in the co-production of an assessment tool for social workers in Ghana. While our case study focused on the production of knowledge within social work practice, the principles and theories of practice research are applicable to other cognate social sciences disciplines where an aim is to produce knowledge usable in practice.","E. Cudjoe; Kwabena Frimpong‐Manso; Alhassan Abdullah; Abena Dufie Akonu-Atta; Y. Appiah","2026","International Journal of Social Research Methodology","10.1080/13645579.2026.2625170","-","true","https://doi.org/10.1080/13645579.2026.2625170","USable; Negotiation; CLARITY; Engineering ethics; Social work; Social practice; Sociology; Social research; Qualitative research; Research methodology","en","-","Include"
"Unpacking data democratization - how communities of practice help organizations develop and scale their data practices","Data democratization, the empowerment of a wide range of employees to engage with data, has become a strategic priority for organizations aiming to create value from data. Existing studies focus on removing organizational or technical barriers to accessing and using data, but offer limited insight into how data democratization materializes in practice. We draw on the concept of communities of practice (CoPs) to examine how data practices are developed and scaled within organizations to meaningfully integrate data and domain knowledge. From an analysis of 45 communities at 21 companies, we identify three types of CoPs that foster data democratization: (1) CoPs that embed data into work practices, (2) CoPs that develop data practices around tools and methods, and (3) CoPs that foster collective data awareness. These CoPs interact through distinct boundary interactions that stimulate practice exchange across the organization. We theorize three enablers that facilitate their interactions: the embeddedness of spanners-in-practice, the malleability of boundary objects, and the supportive governance structures. This study advances information systems research and the emerging field of data studies by unpacking how cross-functional learning and collaboration enable data democratization. For practitioners, we offer guidance for orchestrating and nurturing CoPs to foster data-driven value creation.","Hippolyte Lefebvre; Christine Legner","2026","European Journal of Information Systems","10.1080/0960085x.2025.2607450","1","true","https://doi.org/10.1080/0960085x.2025.2607450","Unpacking; Embeddedness; Knowledge management; Data governance; Value (mathematics); Strategic information system; Information system; Data warehouse; Corporate governance; Value proposition","en","-","Include"
"AI-Enabled Predictive Analytics in Smart Grids: The Case of Sweden","Smart grids (SGs) revolutionize existing power grids by using a wide range of developing disruptive technologies to generate clean, efficient, and predictable energy. Our study uses an action research method and focuses solely on the first two stages of the action research process, diagnosis and action planning, to evaluate ways to adopt artificial intelligence (AI) applications in SGs for predictive analytics in practice. The diagnosis stage of the study entails conducting a systematic literature review on AI applications in SGs, highlighting four areas of potential for predictive analytics: power outage prediction, demand response, control and coordination, and AI-enabled security to optimize decision-making, diagnose faults, and improve grid stability and security. The action planning step included a document analysis to devise methods to enable the practical implementation of AI in smart grids for predictive analytics. Finally, we address practical ways for implementing transparent AI for predictive analytics, followed by a conclusion and future research direction. The study’s key conclusion is that more research is needed to complete the action taking (implementing the solution), evaluation (assessing the results), and learning (reflecting on lessons learned) phases of the action research cycle.","Theodore Kindong; Björn Johansson; Victoria Paulsson","2025","Complex Systems Informatics and Modeling Quarterly","10.7250/csimq.2025-42.03","-","-","https://doi.org/10.7250/csimq.2025-42.03","","-","-","Include"
"Researcher-Practitioner Collaboration in Action Design Research","Action Design Research (ADR) is a well-known research method within Design Science Research (DSR). An essential characteristic of the ADR method is the need for researcher-practitioner collaboration (RPC). While there is abundant research on RPC regarding information systems projects in general concerning explanatory and normative knowledge, there is very limited prescriptive knowledge on how to execute RPC in ADR projects. Successful collaboration in ADR projects is imperative since the development of socio-technical IT artefacts requires frequent interaction in organisational contexts. However, RPC can be hard to manage due to competing interests. Therefore, the purpose of this paper is to present prescriptive knowledge for how to manage RPC. We have analysed a collaborative ADR project consisting of several researchers and practitioners. Based on a grounded theory approach, we have developed theoretical models based on challenges identified in an ADR project. The models provide prescriptive knowledge regarding: shape the IT artefact based on organisational intervention, exploit the mutual dependency between developing design principles and IT artefacts, and contextualise and generalise learning. Each model involves logical relationships between: conditions for the challenges, actions taken to address the challenges and consequences of the actions taken. The guidelines were deducted from the models and consist of recommendations that could be considered in future ADR projects.","Stefan Cronholm; Hannes Göbel; Anup Shrestha","2024","Australasian Journal of Information Systems","10.3127/ajis.v28.4281","1","-","https://doi.org/10.3127/ajis.v28.4281","","-","-","Include"
"Inovação aberta e estratégia aberta sob a perspectiva da estratégia como prática: um ensaio teórico","A Open Strategy (OS) emerge como um fenômeno que tem permitido à organização se adequar ao conceito que incorpora práticas de Open Innovation (OI) com foco em maior transparência e inclusão nos processos de formação da estratégia. Ainda, há, cada vez mais, interesse em estudar a Strategy as Practice (SAP), isto é, os microprocessos e práticas, que geram resultados estratégicos significativos. Apesar do crescimento das pesquisas sobre OI, OS e SAP, notamos que a teoria ainda é fragmentada e existem lacunas, principalmente tratando-se de uma abordagem conjunta e interconectada dessas temáticas. Por conseguinte, o objetivo deste estudo foi compreender como se relacionam os conceitos Open Inovation (OI) e Open Strategy (OS) a partir da perspectiva de Strategy as Practice (SAP). Assim, realizamos um ensaio teórico a partir de artigos relevantes sobre os referidos temas. Os principais resultados apontam que as práticas de OI podem contribuir para a abertura da estratégia sob a perspectiva das microações executadas pelos participantes intra e extraorganizacionais. Ressaltamos a importância de continuarem os estudos sobre a transferência de conhecimentos e tecnologias externas que podem ser inseridas no processo e práticas da estratégia, pois as interações entre os atores agregados extraorganizacionais e as micro e macropráticas foram amplamente negligenciadas nas pesquisas em estratégia, o que leva a pensar que existem oportunidades para novos estudos.","Maria Luciana Trigos; R. Lavarda","2024","Revista Eletrônica de Ciência Administrativa","10.21529/recadm.2024017","-","-","https://doi.org/10.21529/recadm.2024017","","-","-","Include"
"Action Research with Industrial Software Engineering - An Educational Perspective","Action research provides the opportunity to explore the usefulness and usability of software engineering methods in industrial settings, and makes it possible to develop methods, tools and techniques with software engineering practitioners. However, as the research moves beyond the observational approach, it requires a different kind of interaction with the software development organisation. This makes action research a challenging endeavour, and it makes it difficult to teach action research through a course that goes beyond explaining the principles. This chapter is intended to support learning and teaching action research, by providing a rich set of examples, and identifying tools that we found helpful in our action research projects. The core of this chapter focusses on our interaction with the participating developers and domain experts, and the organisational setting. This chapter is structured around a set of challenges that reoccurred in the action research projects in which the authors participated. Each section is accompanied by a toolkit that presents related techniques and tools. The exercises are designed to explore the topics, and practise using the tools and techniques presented. We hope the material in this chapter encourages researchers who are new to action research to further explore this promising opportunity.","Y. Dittrich; Johan Bolmsten; Catherine Seidelin","2024","Handbook on Teaching Empirical Software Engineering","10.1007/978-3-031-71769-7\_15","-","-","https://doi.org/10.1007/978-3-031-71769-7\_15","","-","-","Include"
"The Human‐GenAI Value Loop in Human‐Centered Innovation: Beyond the Magical Narrative","Organisations across various industries are still exploring the potential of Generative Artificial Intelligence (GenAI) to automate a variety of knowledge work processes, including managing innovation. While innovation is often viewed as a product of individual creativity, it more commonly unfolds through a collaborative process where creativity intertwines with knowledge. However, the extent and effectiveness of GenAI in supporting this process remain open questions. Our study investigates this issue using a collaborative practice research approach focused on three GenAI‐enabled innovation projects conducted within different organisations. We explored how, why, and when GenAI could effectively be integrated into design sprints—a highly structured, collaborative process enabling human‐centred innovation. Our research identified challenges and opportunities in synchronising AI capabilities with human intelligence and creativity. To translate these insights into practical strategies, we propose four recommendations for organisations eager to leverage GenAI to both streamline and bring more value to their innovation processes: (1) establish a collaborative intelligence value loop with GenAI; (2) build trust in GenAI; (3) develop robust data collection and curation workflows; and (4) embrace a craftsman's discipline.","Camille Grange; Théophile Demazure; Mickael Ringeval; Simon Bourdeau","2024","Information Systems Journal","10.1111/isj.12602","21","-","https://doi.org/10.1111/isj.12602","","-","-","Include"
"Different scope of two applied biological chemistry journals as revealed by network analysis: a bibliometric study","Purpose: The landscape of academic publishing is experiencing significant transformations, characterized by an increasing volume of research output and the growth of interdisciplinary studies. These developments pose complex challenges for editorial boards, necessitating advanced strategies for submission management and the maintenance of publication standards.Methods: Utilizing network analysis, this study examined 1,865 articles from Applied Biological Chemistry and 1,081 articles from Journal of Applied Biological Chemistry, revealing distinct thematic and methodological orientations within these journals.Results: Applied Biological Chemistry demonstrated a pronounced focus on extraction processes, while Journal of Applied Biological Chemistry focused more on fermentation techniques and enzymatic studies. This differentiation highlights the journals’ unique contributions to the field of applied life sciences and underscores the diversity within academic publishing.Conclusion: The findings of this study not only shed light on the subtle distinctions between Applied Biological Chemistry and Journal of Applied Biological Chemistry but also emphasize the critical role of articulating the journal scope in detail in helping authors find the most suitable publication venues for their interdisciplinary research. By showcasing the utility of bibliometrics and network analysis, this research provides valuable insights for editorial boards to refine their management processes and for authors to navigate the complex landscape of academic publishing effectively, thereby enhancing the dissemination and impact of scholarly work.","Samyoung Yu; Jihye Ahn; Moonsung Choi","2024","Science Editing","10.6087/kcse.335","-","-","https://doi.org/10.6087/kcse.335","","-","-","Include"
"Conversational Agents as Catalysts for Critical Thinking: Challenging Design Fixation in Group Design","This paper investigates the potential of LLM-based conversational agents (CAs) to enhance critical reflection and mitigate design fixation in group design work. By challenging AI-generated recommendations and prevailing group opinions, these agents address issues such as groupthink and promote a more dynamic and inclusive design process. Key design considerations include optimizing intervention timing, ensuring clarity in counterarguments, and balancing critical thinking with designers' satisfaction. CAs can also adapt to various roles, supporting individual and collective reflection. Our work aligns with the""Death of the Design Researcher?""workshop's goals, emphasizing the transformative potential of generative AI in reshaping design practices and promoting ethical considerations. By exploring innovative uses of generative AI in group design contexts, we aim to stimulate discussion and open new pathways for future research and development, ultimately contributing to practical tools and resources for design researchers.","Soohwan Lee; Seoyeong Hwang; Kyungho Lee","2024","arXiv.org","10.48550/arxiv.2406.11125","11","-","https://doi.org/10.48550/arxiv.2406.11125","","-","-","Include"
"Sustainable Development Goal-17 and Nigeria Data Protection Regulation Adoption among Organizations in Nigeria","Adoption of computerized systems by organizations in Nigeria poses some data security challenges to citizens and people from other nations. The challenges require organizations to deploy personal data security that are in line with global standards, hence, Nigeria Data Protection Regulation (NDPR) was introduced. NDPR is to promote ethical personal data security and Nigeria’s attainment of the sustainable development goal-17. However, only small number of organizations in Nigeria are able to adopt the NDPR because its adoption is complex and necessitate the implementation of organizational change management (OCM) project. Experience shows that OCM projects usually fails because many OCM frameworks used for OCM projects do not align with both scientifically proven ideas and organizational realities. Our study addresses the benefits of collaborative practice research studies to the production of OCM frameworks that incorporates both theoretical ideas and organizational realities. Our study provides viable solutions to the problem of lack of practice oriented OCM frameworks that organizations in Nigeria can use to drive the adoption the NDPR.","Sumayya Babangida-Sabo; Samuel C. Avemaria Utulu; Abel Ajibesin","2024","2024 International Conference on Science, Engineering and Business for Driving Sustainable Development Goals (SEB4SDG)","10.1109/seb4sdg60871.2024.10630013","-","-","https://doi.org/10.1109/seb4sdg60871.2024.10630013","","-","-","Include"
